internal_method_id,manuscript_display_name,method_role,input_representation,independent_stochastic_fits_per_outer_cell,seed_or_fit_aggregation,model_selection,outer_test_partition,evaluation_and_statistics,v3_hyperparameter_search,fairness_interpretation
always_nn,Feature MLP,Primary comparator,272 engineered features; 0.5-55 Hz,5,Median window probability across five independent stochastic fits,Same nested inner folds,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Directly protocol-aligned
always_fuse,Window-level heterogeneous stack,Learned fusion comparator,"OOF logits from Feature MLP, RF and Extra Trees",5,"One OOF logistic stacker per seed, followed by five-seed median",Same nested inner folds; OOF only,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Protocol-aligned derived model
rf,Random forest,Classical feature baseline,272 engineered features; 0.5-55 Hz,5,Median window probability across five seeded fits,Same nested inner folds for OOF fusion evidence,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Directly protocol-aligned
extra_trees,Extra Trees,Classical feature baseline,272 engineered features; 0.5-55 Hz,5,Median window probability across five seeded fits,Same nested inner folds for OOF fusion evidence,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Directly protocol-aligned
fixed_blend_010,Fixed 10% blend,Secondary fixed-weight baseline,Frozen neural and heterogeneous-stack probabilities,0,Deterministic 0.90 neural + 0.10 fused probability,No fitted parameters,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Derived from the same frozen branches
fixed_blend_025,Fixed 25% blend,Secondary fixed-weight baseline,Frozen neural and heterogeneous-stack probabilities,0,Deterministic 0.75 neural + 0.25 fused probability,No fitted parameters,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Derived from the same frozen branches
equal_blend_050,Equal 50% blend,Secondary fixed-weight baseline,Frozen neural and heterogeneous-stack probabilities,0,Deterministic 0.50 neural + 0.50 fused probability,No fitted parameters,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Derived from the same frozen branches
stack_recording,Recording-level OOF stacker,Secondary learned meta-baseline,Recording-level OOF branch logits,1,One deterministic logistic meta-model per outer cell,Source-recording OOF for cross-task; nested participant OOF for LOSO,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Protocol-aligned but trained at recording level
dasf_clean,DASF hard gate,Exploratory proposed selector,Frozen neural/fused probabilities plus label-free shift,0,One batch-level hard decision after five-seed aggregation,OOF validation evidence only,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Exploratory derived decision rule
cbsf,CB-SF soft gate,Post-hoc exploratory proposed gate,Five target-batch diagnostics from frozen branches and features,0,One transductive batch weight after five-seed aggregation,Cross-fitted gate training; target labels excluded,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Exploratory derived decision rule
riemann_ts_logreg,Riemannian tangent-space logistic regression,Conventional geometric baseline,8-channel covariance; 0.5-55 Hz,1,One deterministic fit; copied to seed slots only for file compatibility,No inner model selection,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Same outer test set; deterministic and differently represented
riemann_mdm,Riemannian MDM,Conventional geometric baseline,8-channel covariance; 0.5-55 Hz,1,One deterministic fit; copied to seed slots only for file compatibility,No inner model selection,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Same outer test set; deterministic and differently represented
eegnet,EEGNet,Raw-EEG deep baseline,8 x 2125 raw window; 0.5-45 Hz,5,Median window probability across five independent stochastic fits,Same recording-/participant-disjoint nested folds,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Same split/ensemble budget; representation-specific front end
eeg_conformer,EEG-Conformer,Raw-EEG deep baseline,8 x 2125 raw window; 0.5-45 Hz,5,Median window probability across five independent stochastic fits,Same recording-/participant-disjoint nested folds,Identical Route A v3 participant/direction cells and recordings,Window probabilities aggregated to recording; participant is statistical unit,None; fixed before the v3 rerun,Same split/ensemble budget; representation-specific front end
