dataset,protocol,direction,method_id,method,comparator,n_paired_participants,mean_difference,paired_ci95_low,paired_ci95_high,participants_improved,participants_tied,participants_worsened,wilcoxon_p_raw,exploratory_margin,lower_ci_above_minus_5pp,superior_by_ci,analysis_status,bh_family,wilcoxon_p_bh,significant_after_bh_0_05
openbci,loso,stroop,eeg_conformer,EEG-Conformer,Neural comparator (Always-NN),15,0.06666666666666667,-0.016666666666666666,0.15,6,7,2,0.15729920705028502,-0.05,True,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.3337517762038567,False
openbci,loso,stroop,eegnet,EEGNet,Neural comparator (Always-NN),15,0.08333333333333333,0.016666666666666666,0.15,6,8,1,0.05878172135535886,-0.05,True,True,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.3337517762038567,False
openbci,loso,stroop,extra_trees,ExtraTrees,Neural comparator (Always-NN),15,-0.05,-0.11666666666666667,0.016666666666666666,1,10,4,0.17971249487899976,-0.05,False,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.3337517762038567,False
openbci,loso,stroop,rf,Random forest,Neural comparator (Always-NN),15,-0.05,-0.11666666666666667,0.016666666666666666,1,10,4,0.17971249487899976,-0.05,False,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.3337517762038567,False
openbci,loso,stroop,stack_recording,Recording-level OOF stacker,Neural comparator (Always-NN),15,0.06666666666666667,-0.016666666666666666,0.15,4,10,1,0.17006696145390487,-0.05,True,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.3337517762038567,False
openbci,loso,stroop,riemann_mdm,Riemannian MDM,Neural comparator (Always-NN),15,-0.08333333333333333,-0.16666666666666666,0.0,2,6,7,0.0955807045456294,-0.05,False,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.3337517762038567,False
openbci,loso,stroop,riemann_ts_logreg,Riemannian tangent-space logistic regression,Neural comparator (Always-NN),15,-0.1,-0.18333333333333332,-0.016666666666666666,2,5,8,0.057779571123597204,-0.05,False,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.3337517762038567,False
openbci,loso,stroop,cbsf,CB-SF soft gate,Neural comparator (Always-NN),15,0.016666666666666666,-0.03333333333333333,0.06666666666666667,2,12,1,0.5637028616507731,-0.05,True,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.7172518685303055,False
openbci,loso,stroop,equal_blend_050,Equal-weight soft fusion,Neural comparator (Always-NN),15,0.03333333333333333,-0.05,0.13333333333333333,3,10,2,0.6069054272179508,-0.05,False,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.7172518685303055,False
openbci,loso,stroop,fixed_blend_025,Fixed 25% fusion,Neural comparator (Always-NN),15,0.016666666666666666,-0.03333333333333333,0.06666666666666667,2,12,1,0.5637028616507731,-0.05,True,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.7172518685303055,False
openbci,loso,stroop,always_fuse,Unconditional stacked fusion,Neural comparator (Always-NN),15,0.016666666666666666,-0.03333333333333333,0.06666666666666667,2,12,1,0.5637028616507731,-0.05,True,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,0.7172518685303055,False
openbci,loso,stroop,dasf_clean,DASF hard gate,Neural comparator (Always-NN),15,0.0,0.0,0.0,0,15,0,1.0,-0.05,True,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,1.0,False
openbci,loso,stroop,fixed_blend_010,Fixed 10% fusion,Neural comparator (Always-NN),15,0.0,-0.05,0.05,1,13,1,1.0,-0.05,False,False,post-hoc exploratory; not confirmatory non-inferiority,all 13 Stroop LOSO comparisons versus Always-NN,1.0,False
