block_id,feature_block,index_start_1based,index_end_1based,dimension,formula,implementation_notes
1,Log absolute band power,1,48,48,log(mean_{f in band} P_c(f) + epsilon),Six bands for each of eight channels; the frontal multiplier is added in log space to channels 1-4.
2,Relative band power,49,96,48,mean_{f in band} P_c(f) / mean_{0.5<=f<55} P_c(f),Six bands per channel; channels 1-4 are multiplied by 1.12 and theta/alpha entries by 1.10.
3,Spectral entropy,97,104,8,"-sum_f q_c(f) log(q_c(f)), q_c(f)=P_c(f)/sum_f P_c(f)",Computed per channel over the implemented 0.5-55 Hz mask.
4,Theta/beta and alpha/beta ratios,105,120,16,theta/(low-beta+high-beta); alpha/(low-beta+high-beta),Two ratios for each channel using relative powers after the fixed multipliers.
5,Time-domain summaries,121,152,32,mean(x); std(x); sqrt(mean(x^2)); max(x)-min(x),"Four summaries per channel after within-window z-score; mean, standard deviation and RMS are therefore nearly fixed by construction."
6,Across-channel spatial summaries,153,172,20,mean_c(relative); std_c(relative); mean_c(log absolute); mean_c(entropy); std_c(entropy),Six values for each of the first three summaries plus two entropy summaries.
7,Hjorth descriptors,173,196,24,log(var(x)); sqrt(var(dx)/var(x)); sqrt(var(d2x)/var(dx))/mobility,"Activity, mobility and complexity for each channel."
8,Physiological extras,197,213,17,mean(abs(dx)); mean(alpha first 4)-mean(alpha last 4); (delta+theta)/(alpha+low-beta+high-beta),"The one-dimensional alpha term is a channel-group contrast, not a standard left-right frontal alpha asymmetry measure."
9,Cross-band log summaries,214,216,3,log(mean_c(alpha/beta)); log(mean_c(gamma/alpha)); log(mean_c(theta/alpha)),Three across-channel ratios.
10,Frontal workload summaries,217,218,2,log(mean_{c=1..4}(theta)/mean_{c=1..4}(beta)); log(mean_{c=1..4}(alpha)),"The first four ordered channels are Fp1, Fp2, F7 and F3."
11,Channel-band differential entropy,219,266,48,"0.5 log(2*pi*e*var(x_{c,band}))",Six FFT-mask reconstructed band signals for each of eight channels.
12,Across-channel differential entropy,267,272,6,"mean_c[0.5 log(2*pi*e*var(x_{c,band}))]",One channel-mean differential-entropy value per band.
