component,parameter,value,scope,evidence_source
Feature MLP,input dimension,272,all v3 settings,64 protocol and models.py
Feature MLP,trainable parameters,467234,all v3 settings,64 protocol and models.py
Feature MLP,hidden width,256,all v3 settings,64 protocol and models.py
Feature MLP,residual blocks,3,all v3 settings,64 protocol and models.py
Feature MLP,dropout,0.2,all v3 settings,64 protocol and models.py
Feature MLP,optimizer,AdamW,all v3 settings,64 protocol and models.py
Feature MLP,learning rate,0.001,all v3 settings,64 protocol and models.py
Feature MLP,weight decay,0.0001,all v3 settings,64 protocol and models.py
Feature MLP,batch size,128,all v3 settings,64 protocol and models.py
Feature MLP,maximum epochs,100,all v3 settings,64 protocol and models.py
Feature MLP,early-stopping patience,15,all v3 settings,64 protocol and models.py
Feature MLP,loss,inverse-frequency class-weighted cross-entropy,all v3 settings,64 protocol and models.py
Feature MLP,gradient clipping,L2 norm 1.0,all v3 settings,64 protocol and models.py
Feature MLP,feature scaling,StandardScaler fitted only on the corresponding training fold,all v3 settings,64 protocol and models.py
Feature MLP,epoch selection,recording-level mean true-class log probability; final epoch is median inner-fold best epoch,all v3 settings,64 protocol and models.py
Random forest,n_estimators,500,all v3 settings,64 protocol
Random forest,max_depth,30,all v3 settings,64 protocol
Random forest,min_samples_leaf,4,all v3 settings,64 protocol
Random forest,max_features,0.25,all v3 settings,64 protocol
Random forest,n_jobs,-1,all v3 settings,64 protocol
Random forest,class weight,balanced,all v3 settings,models.py
Random forest,outer-cell seed offset,+37 for RF; +74 for Extra Trees,each ensemble seed,models.py
Extra Trees,n_estimators,500,all v3 settings,64 protocol
Extra Trees,max_depth,30,all v3 settings,64 protocol
Extra Trees,min_samples_leaf,4,all v3 settings,64 protocol
Extra Trees,max_features,0.25,all v3 settings,64 protocol
Extra Trees,n_jobs,-1,all v3 settings,64 protocol
Extra Trees,class weight,balanced,all v3 settings,models.py
Extra Trees,outer-cell seed offset,+37 for RF; +74 for Extra Trees,each ensemble seed,models.py
Window-level heterogeneous stack,inputs,"class-1 logits from Feature MLP, RF and Extra Trees",each inner/outer cell,64 protocol and models.py
Window-level heterogeneous stack,C,1.0,each inner/outer cell,64 protocol and models.py
Window-level heterogeneous stack,class weight,balanced,each inner/outer cell,64 protocol and models.py
Window-level heterogeneous stack,maximum iterations,2000,each inner/outer cell,64 protocol and models.py
Window-level heterogeneous stack,training predictions,OOF only,each inner/outer cell,64 protocol and models.py
Window-level heterogeneous stack,sample weight,inverse number of windows in each recording,each inner/outer cell,64 protocol and models.py
Window-level heterogeneous stack,probability clipping before logit,"[1e-6, 1-1e-6]",each inner/outer cell,64 protocol and models.py
EEGNet,D,2,all v3 settings,EEGNet v3 manifest
EEGNet,F1,8,all v3 settings,EEGNet v3 manifest
EEGNet,F2,16,all v3 settings,EEGNet v3 manifest
EEGNet,dropout,0.5,all v3 settings,EEGNet v3 manifest
EEGNet,pool1,4,all v3 settings,EEGNet v3 manifest
EEGNet,pool2,8,all v3 settings,EEGNet v3 manifest
EEGNet,temporal_kernel,125,all v3 settings,EEGNet v3 manifest
EEGNet,input shape,8 x 2125,every window,78 runner
EEGNet,trainable parameters,3834,fixed architecture,deep.py instantiated audit
EEGNet,band-pass,"0.5-45 Hz, fourth-order zero-phase Butterworth",each recording before windowing,78 runner data loader
EEGNet,normalization,per-window per-channel z-score,each completed 8.5-s window,78 runner data loader
EEGNet,batch size,32,all v3 settings,EEGNet v3 manifest
EEGNet,learning rate,0.001,all v3 settings,EEGNet v3 manifest
EEGNet,max epochs,80,all v3 settings,EEGNet v3 manifest
EEGNet,patience,12,all v3 settings,EEGNet v3 manifest
EEGNet,selection metric,recording-level mean log probability,all v3 settings,EEGNet v3 manifest
EEGNet,weight decay,0.0001,all v3 settings,EEGNet v3 manifest
EEGNet,loss,inverse-frequency class-weighted cross-entropy,each training fold,deep.py
EEGNet,optimizer,AdamW,each fit,deep.py
EEGNet,gradient clipping,L2 norm 1.0,each update,deep.py
EEGNet,final epoch,median inner-fold selected epoch,each outer cell and seed,78 runner
EEG-Conformer,attention_heads,4,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,dropout,0.5,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,embedding_dim,40,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,feedforward_dim,160,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,pool_kernel,75,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,pool_stride,15,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,temporal_kernel,25,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,transformer_layers,2,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,input shape,8 x 2125,every window,78 runner
EEG-Conformer,trainable parameters,58962,fixed architecture,deep.py instantiated audit
EEG-Conformer,band-pass,"0.5-45 Hz, fourth-order zero-phase Butterworth",each recording before windowing,78 runner data loader
EEG-Conformer,normalization,per-window per-channel z-score,each completed 8.5-s window,78 runner data loader
EEG-Conformer,batch size,32,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,learning rate,0.001,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,max epochs,80,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,patience,12,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,selection metric,recording-level mean log probability,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,weight decay,0.0001,all v3 settings,EEG-Conformer v3 manifest
EEG-Conformer,loss,inverse-frequency class-weighted cross-entropy,each training fold,deep.py
EEG-Conformer,optimizer,AdamW,each fit,deep.py
EEG-Conformer,gradient clipping,L2 norm 1.0,each update,deep.py
EEG-Conformer,final epoch,median inner-fold selected epoch,each outer cell and seed,78 runner
Riemannian tangent-space logistic regression,input,8 x 8 regularized covariance per window,all v3 settings,feature loader and 77 runner
Riemannian tangent-space logistic regression,reference fitting,outer-training windows only,each outer cell,77 runner
Riemannian MDM,input,8 x 8 regularized covariance per window,all v3 settings,feature loader and 77 runner
Riemannian MDM,reference fitting,outer-training windows only,each outer cell,77 runner
Riemannian tangent-space logistic regression,logistic C,1.0,all v3 settings,77 manifest
Riemannian tangent-space logistic regression,logistic max iter,4000,all v3 settings,77 manifest
Riemannian MDM,mdm metric,riemann,all v3 settings,77 manifest
Riemannian tangent-space logistic regression,tangent metric,riemann,all v3 settings,77 manifest
Riemannian tangent-space logistic regression,class weight,balanced,all v3 settings,run_riemannian_baselines.py
Riemannian tangent-space logistic regression,tangent scaling,StandardScaler fitted on outer training,each outer cell,run_riemannian_baselines.py
Fixed 10% blend,formula,(1-0.10)*P_neural + 0.10*P_heterogeneous,window probability,75 runner
Fixed 10% blend,fitted parameters,0,all settings,75 runner
Fixed 25% blend,formula,(1-0.25)*P_neural + 0.25*P_heterogeneous,window probability,75 runner
Fixed 25% blend,fitted parameters,0,all settings,75 runner
Equal 50% blend,formula,(1-0.50)*P_neural + 0.50*P_heterogeneous,window probability,75 runner
Equal 50% blend,fitted parameters,0,all settings,75 runner
Recording-level OOF stacker,inputs,recording-level class-1 branch logits,protocol-specific,75 and 76 runners
Recording-level OOF stacker,C,1.0,protocol-specific,75 and 76 runners
Recording-level OOF stacker,class weight,balanced,protocol-specific,75 and 76 runners
Recording-level OOF stacker,maximum iterations,4000,protocol-specific,75 and 76 runners
Recording-level OOF stacker,probability clipping before logit,"[1e-6, 1-1e-6]",protocol-specific,75 and 76 runners
Recording-level OOF stacker,cross-task fit data,four source-task recording-level OOF rows in the target participant cell,protocol-specific,75 and 76 runners
Recording-level OOF stacker,LOSO fit data,inner participant-level OOF recording predictions from outer-training participants,protocol-specific,75 and 76 runners
Recording-level OOF stacker,target labels used,False,protocol-specific,75 and 76 runners
